SMILES,Solvent,Ex (nm),Em (nm),ST (nm),QY,¦Å (cm-1M-1),Log(¦Å),Reference
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N5CCC[C@H]5CO)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,702,738,36,0.03,24000,4.380211242,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N5CCC[C@H]5CO)c4F)C=C3CCC2)C(C)(C)c2ccccc21,O,707,740,33,0.015,19700,4.294466226,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N5CCC[C@H]5CO)c4F)C=C3CCC2)C(C)(C)c2ccccc21,C(Cl)(Cl)Cl,720,748,28,0.06,27800,4.444044796,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N5CCCCC5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,621,732,111,0.015,31900,4.503790683,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N5CCN(C(=O)OC(C)(C)C)CC5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,C(Cl)(Cl)Cl,629,725,96,0.02,40450,4.606918526,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N5CCN(C(=O)OC(C)(C)C)CC5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,608,728,120,0.01,37650,4.575764981,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N5CCOCC5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,610,725,115,0.01,40000,4.602059991,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N5CCOCC5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,C(Cl)(Cl)Cl,624,727,103,0.02,45850,4.66133934,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(Nc5ccc6c(c5)Cc5ccccc5-6)c4F)C=C3CCC2)C(C)(C)c2ccccc21,C(Cl)(Cl)Cl,642,,,,33700,4.527629901,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(Nc5ccc6c(c5)Cc5ccccc5-6)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,642,,,,31400,4.496929648,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(Sc5c(Cl)cccc5Cl)c4F)C=C3CCC2)C(C)(C)c2ccccc21,C(Cl)(Cl)Cl,600,,,,45550,4.658488381,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(Sc5ccc6ccccc6c5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,C(Cl)(Cl)Cl,593,,,,32450,4.511214701,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(Sc5ccc6ccccc6c5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,557,,,,33300,4.522444234,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4cc(O)ccc4C=C3CCC2)C(C)(C)c2cc(I)ccc21,O,688,711,23,0.27,28000,4.447158031,https://doi.org/10.1016/j.pdpdt.2022.102722
C[N+]1=C(/C=C/C2=C3Oc4cc(O)ccc4C=C3CCC2)C(C)(C)c2ccccc21,O,680,705,25,0.37,88000,4.944482672,https://doi.org/10.1016/j.pdpdt.2022.102722
C[N+]1=C(/C=C/c2c(O)c(O)c(/C=C/C3=[N+](C)c4ccccc4C3(C)C)c3ccccc23)C(C)(C)c2ccccc21,C(Cl)Cl,619,663,44,0.005,,,https://doi.org/10.1016/j.saa.2021.120404
C[N+]1=C(/C=C/c2c(O)c(O)c(/C=C/C3=[N+](C)c4ccccc4C3(C)C)c3ccccc23)C(C)(C)c2ccccc21,O,534,631,97,0.004,,,https://doi.org/10.1016/j.saa.2021.120404
C[N+]1=C(/C=C/c2cc3ccccc3[n+](C)c2)C(C)(C)c2c1ccc1ccccc21,O,553,584,31,,,,https://doi.org/10.1016/j.snb.2023.135073
C[N+]1=C(/C=C/c2ccc(O)cc2)C(C)(C)c2ccccc21,CC#N,427,529,102,0.087,,,https://doi.org/10.1016/j.dyepig.2006.01.046
C[N+]1=C(/C=C2\C(=O)C(N(c3ccccc3)c3ccccc3)=C2[O-])C(C)(C)c2ccccc21,C(Cl)(Cl)Cl,528,602,74,0.017,85600,4.932473765,https://doi.org/10.1016/j.dyepig.2023.111612
C[N+]1=C(/C=C2\C(=O)C(N(c3ccccc3)c3ccccc3)=C2[O-])C(C)(C)c2ccccc21,CO,520,583,63,0.0037,98800,4.994756945,https://doi.org/10.1016/j.dyepig.2023.111612
C[N+]1=C(/C=C2\C(=O)C(N(c3ccccc3)c3ccccc3)=C2[O-])C(C)(C)c2ccccc21,O,512,563,51,0.0045,83500,4.921686475,https://doi.org/10.1016/j.dyepig.2023.111612
C[N+]1=C(/C=C2\C(=O)C(Nc3ccccc3)=C2[O-])C(C)(C)c2ccccc21,CO,514,530,16,0.0072,92500,4.966141733,https://doi.org/10.1016/j.dyepig.2023.111612
C[N+]1=C(/C=C2\C(=O)C(Nc3ccccc3)=C2[O-])C(C)(C)c2ccccc21,C(Cl)(Cl)Cl,520,534,14,0.045,79300,4.899273187,https://doi.org/10.1016/j.dyepig.2023.111612
C[N+]1=C(/C=C2\C(=O)C(Nc3ccccc3)=C2[O-])C(C)(C)c2ccccc21,O,503,528,25,0.0038,78500,4.894869657,https://doi.org/10.1016/j.dyepig.2023.111612
C[n+]1c(/C=C/c2ccco2)cccc1/C=C/c1ccco1,O,416,513,98,,,,https://doi.org/10.1016/j.molstruc.2013.01.064
C[n+]1c(/C=C/c2ccco2)cccc1/C=C/c1ccco1,CO,411,512,102,,,,https://doi.org/10.1016/j.molstruc.2013.01.064
C[n+]1c(/C=C/c2ccco2)cccc1/C=C/c1ccco1,C(Cl)(Cl)Cl,416,507,91,,,,https://doi.org/10.1016/j.molstruc.2013.01.064
C[n+]1c(/C=C/c2ccco2)cccc1/C=C/c1ccco1,CS(=O)C,422,524,102,,,,https://doi.org/10.1016/j.molstruc.2013.01.064
C[n+]1c(/C=C2/C=C(/C=C/c3cn(Cc4ccccc4)c4ccccc34)CC(C)(C)C2)sc2ccccc21,CS(=O)C,549,710,161,0.0575,26600,4.424881637,https://doi.org/10.1016/j.dyepig.2021.109182
C[n+]1c(/C=C2/C=C(/C=C/c3cn(Cc4ccccc4)c4ccccc34)CC(C)(C)C2)sc2ccccc21,CC(=O)C,552,705,153,0.0429,63500,4.802773725,https://doi.org/10.1016/j.dyepig.2021.109182
C[n+]1c(/C=C2/C=C(/C=C/c3cn(Cc4ccccc4)c4ccccc34)CC(C)(C)C2)sc2ccccc21,O,498,691,194,0.0131,44100,4.644438589,https://doi.org/10.1016/j.dyepig.2021.109182
