SMILES,Solvent,Ex (nm),Em (nm),ST (nm),QY,¦Å (cm-1M-1),Log(¦Å)
[H]C=CC1=C(n2ccc(=O)[nH]c2=O)O[C@H](CO[Si](C)(C)C(C)(C)C)[C@H]1O[Si](C)(C)C(C)(C)C,CO,251,,,,,
[H]C1([H])N(c2ccc3c(-c4ccccc4C(=O)[O-])c4ccc(=[N+]5C([H])([H])C([H])([H])C([H])([H])C([H])([H])C5([H])[H])cc-4oc3c2)C([H])([H])C([H])([H])C([H])([H])C1([H])[H],O,,,,,92600,4.9666
[H]C1([H])N(c2ccc3c(-c4ccccc4C(=O)[O-])c4ccc(=[N+]5C([H])([H])C([H])([H])C([H])([H])C5([H])[H])cc-4oc3c2)C([H])([H])C([H])([H])C1([H])[H],O,,,,,104000,5.017
[H]C1([H])N(c2ccc3c(-c4ccccc4C(=O)[O-])c4ccc(=[N+]5C([H])([H])C([H])([H])C5([H])[H])cc-4oc3c2)C([H])([H])C1([H])[H],O,,,,,96700,4.9854
[H]C1([H])OC([H])([H])C([H])([H])N(c2ccc3c(-c4ccccc4C(=O)[O-])c4ccc(=[N+]5C([H])([H])C([H])([H])OC([H])([H])C5([H])[H])cc-4oc3c2)C1([H])[H],O,,,,,87800,4.9435
[H]C1C=C[C@@H]2C(=C1)C(=O)N(Cc1ccccc1)[C@@H]1CCCC[C@@H]21,CCO,,,,,6300,3.7993
[H]c1c2nc(c(-c3ccccc3)c3ccc([nH]3)c(CCCC)c3nc(c(-c4ccccc4)c4ccc1[nH]4)C=C3)C=C2,C(Cl)Cl,,,,,138038,5.14
[H]c1c2nc(cc3[nH]c(c([H])c4nc(cc5[nH]c1c(CC)c5C)C([H])C4[H])c(CCC(=O)OC)c3C)C(C)=C2CC,C(Cl)Cl,,,,,158900,5.2011
[H]CC1=C(n2ccc(=O)[nH]c2=O)O[C@H](CO[Si](C)(C)C(C)(C)C)[C@H]1O[Si](C)(C)C(C)(C)C,CO,255,,,,,
[N]=[C]/C(=C\c1ccc(OCc2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)cc1)c1ccc(/C2=C3\C=CC(=N3)/C(c3ccc(C(=O)O)cc3)=c3/cc/c4n3[Zn]n3c2ccc3/C(c2ccc(/C([C]=[N])=C/c3ccc(OCc5cc(OCc6ccccc6)cc(OCc6ccccc6)c5)cc3)cc2)=C2/C=CC(=N2)/C=4c2ccc(/C([C]=[N])=C/c3cccc(OCc4cc(OCc5ccccc5)cc(OCc5ccccc5)c4)c3)cc2)cc1,C1CCOC1,600,658,58,,,
[N-]=[N+]=NCc1ccc2c(c1)c1cccc3cnc2n31,CO,423,468,45,0.46,,
[NH-]c1c(Cl)c(Cl)c([C](c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,CS(=O)C,,,,,15800,4.1987
[NH-]c1cc(N)cc(-c2nc3ccccc3s2)c1,O,343,484,141,0.002,13002,4.114
[NH-]Cc1ccc2c(c1)c1cc(CN)ccc1n2-c1cc(Cl)c(C(c2c(Cl)cc(Cl)cc2Cl)c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,C1CCOC1,,,,,32200,4.5079
[NH2+]=C1C(c2ccc(O)cc2)=CC2=Cc3ccc(-c4ccccc4)n3[B-](F)(F)N12,CCO,515,,,,19420,4.2882
[NH2+]=C1c2cccn2[B-](F)(F)n2cccc21,CO,399,438,39,0.92,,
[NH2+]=C1c2cccn2[B-](F)(F)n2cccc21,CCOC(=O)C,406,444,38,1,,
