SMILES,Solvent,Ex (nm),Em (nm),ST (nm),QY,¦Å (cm-1M-1),Log(¦Å),Reference
CCN(CC)c1ccc2c(c1)P(=O)(c1ccccc1)C1=CC(=[N+](CC)CC)C=CC1=C2c1ccccc1C,O,707,731,24,0.12,94500,4.975431809,https://doi.org/10.1016/j.dyepig.2022.110735
CCN(CC)c1ccc2c(c1)P(C)(=O)C1=C/C(=[N+](/C)CC)C=CC1=C2c1c(C)cc(C)cc1C,O,696,713,17,0.15,68000,4.832508913,https://doi.org/10.1016/j.cclet.2018.12.012
CCN(CC)c1ccc2c(c1)P(C)(=O)C1=CC(=[N+](CC)CC)C=CC1=C2c1ccccc1,O,694,712,18,0.06,65000,4.812913357,https://doi.org/10.1016/j.cclet.2018.12.012
CCN(CC)c1ccc2c(c1)P(C)(=O)C1=CC(=[N+](CC)CC)C=CC1=C2c1ccccc1C,O,694,712,18,0.11,92000,4.963787827,https://doi.org/10.1016/j.dyepig.2022.110735
CCN(CC)c1ccc2c(-c3c(Br)c(Br)c(Br)c(Br)c3C(=O)O)c3cc4c(cc3[o+]c2c1)N1CCCC1CN4CC(F)(F)F,O,606,637,31,0.56,36754,4.565304611,https://doi.org/10.1016/j.snb.2023.135074
CCN(CC)c1ccc2c(-c3c(C(C)C)cccc3C(C)C)c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,558,582,24,0.29,45000,4.653212514,https://doi.org/10.1021/acs.joc.5b01746
CCN(CC)c1ccc2c(-c3c(C)cccc3C)c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,558,581,23,0.48,120000,5.079181246,https://doi.org/10.1021/acs.joc.5b01746
CCN(CC)c1ccc2c(-c3c(Cl)c(Cl)c(Cl)c(Cl)c3C(=O)O)c3cc4c(cc3[o+]c2c1)N1CCCC1CN4CC(F)(F)F,O,604,637,33,0.51,34282,4.535066151,https://doi.org/10.1016/j.snb.2023.135074
CCN(CC)c1ccc2c(-c3c(F)c(F)c(F)c(F)c3C(=O)O)c3cc4c(cc3[o+]c2c1)N1CCCC1CN4CC(F)(F)F,O,602,638,36,0.43,61511,4.788952788,https://doi.org/10.1016/j.snb.2023.135074
CCN(CC)c1ccc2c(-c3c(OC)cccc3OC)c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,558,578,20,0.51,61000,4.785329835,https://doi.org/10.1021/acs.joc.5b01746
CCN(CC)c1ccc2c(-c3c(Oc4c(C)cccc4C)cccc3Oc3c(C)cccc3C)c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,562,583,21,0.48,75000,4.875061263,https://doi.org/10.1021/acs.joc.5b01746
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)[O-])cc3S([O])(=O)=O)c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,548,573,25,0.52,,,https://doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)[O-])cc3S([O])(=O)=O)c3ccc(=[N+](CC)CC)cc-3oc2c1,O,562,588,26,0.3,,,https://doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)[O-])cc3S([O])(=O)=O)c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,552,578,26,0.68,,,https://doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)[O-])cc3S([O])(=O)=O)c3ccc(=[N+](CC)CC)cc-3oc2c1,CN(C)C=O,552,574,22,0.51,,,https://doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)[O-])cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,548,573,25,0.52,,,http://dx.doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)[O-])cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CN(C)C=O,552,574,22,0.51,,,http://dx.doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)[O-])cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,O,562,588,26,0.3,,,http://dx.doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)[O-])cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,552,578,26,0.68,,,http://dx.doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)O)cc3S([O])(=O)=O)c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,551,575,24,0.58,,,https://doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)O)cc3S([O])(=O)=O)c3ccc(=[N+](CC)CC)cc-3oc2c1,O,554,591,37,0.36,,,https://doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)O)cc3S([O])(=O)=O)c3ccc(=[N+](CC)CC)cc-3oc2c1,CN(C)C=O,554,576,22,0.54,,,https://doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)O)cc3S([O])(=O)=O)c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,556,581,25,0.66,,,https://doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)O)cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,551,575,24,0.58,,,http://dx.doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)O)cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CN(C)C=O,554,576,22,0.54,,,http://dx.doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)O)cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,556,581,25,0.66,,,http://dx.doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)O)cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,O,554,591,37,0.36,,,http://dx.doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccccc3)c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,552,574,22,0.59,102600,5.011147361,https://doi.org/10.1021/acs.joc.1c02135
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,555,579,24,0.4,,,http://dx.doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CN(C)C=O,560,588,28,0.42,,,http://dx.doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,539,571,32,0.66,,,http://dx.doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,O,554,580,26,0.36,,,http://dx.doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccccc3C(=O)N(C(=O)NC3CCCCC3)C3CCCCC3)c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,560,583,23,0.97,,,https://doi.org/10.1016/j.jlumin.2013.12.060
CCN(CC)c1ccc2c(-c3ccccc3C(=O)N(C(=O)NC3CCCCC3)C3CCCCC3)c3ccc(=[N+](CC)CC)cc-3oc2c1,CO,,585,,,,,https://doi.org/10.1016/j.jlumin.2013.12.060
CCN(CC)c1ccc2c(-c3ccccc3C(=O)N(C(=O)NC3CCCCC3)C3CCCCC3)c3ccc(=[N+](CC)CC)cc-3oc2c1,CN(C)C=O,562,582,20,,,,https://doi.org/10.1016/j.jlumin.2013.12.060
CCN(CC)c1ccc2c(-c3ccccc3C(=O)N(C(=O)NC3CCCCC3)C3CCCCC3)c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,,584,,,,,https://doi.org/10.1016/j.jlumin.2013.12.060
CCN(CC)c1ccc2c(-c3ccccc3C(=O)N(C(=O)NC3CCCCC3)C3CCCCC3)c3ccc(=[N+](CC)CC)cc-3oc2c1,O,,593,,,,,https://doi.org/10.1016/j.jlumin.2013.12.060
CCN(CC)c1ccc2c(-c3ccccc3C(=O)N(CCCl)CCCl)c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,558,583,25,0.38,,,https://doi.org/10.1016/j.jpap.2021.100026
CCN(CC)c1ccc2c(-c3ccccc3C(=O)N3CCNCC3)c3ccc(=[N+](CC)CC)cc-3oc2c1,O,567,589,22,,,,https://doi.org/10.1002/cmtd.202000068
CCN(CC)c1ccc2c(-c3ccccc3C(=O)N3CCOCC3)c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,560,583,23,0.39,,,https://doi.org/10.1016/j.jpap.2021.100026
CCN(CC)c1ccc2c(-c3ccccc3C(=O)N3CCSCC3)c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,560,584,24,0.4,,,https://doi.org/10.1016/j.jpap.2021.100026
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/c1ccc(N(C)C)s1)CCC3,C(Cl)Cl,733,766,33,0.04,175894,5.245251025,http://dx.doi.org/10.1016/j.jphotochem.2017.07.045
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/c1ccc(N2CCCC2)s1)CCC3,C(Cl)Cl,738,770,32,0.04,156309,5.193983985,http://dx.doi.org/10.1016/j.jphotochem.2017.07.045
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/c1ccc(O)c(Cl)c1)CCC3,CO,577,657,80,0.094,23400,4.369215857,https://doi.org/10.1016/j.biomaterials.2013.08.081
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/c1ccc(O)cc1)CCC3,CO,570,654,84,0.123,24900,4.396199347,https://doi.org/10.1016/j.biomaterials.2013.08.081
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/c1ccc2c(c1)c1ccccc1n2CC)CCC3,C(Cl)Cl,646,712,66,0.08,49000,4.69019608,http://dx.doi.org/10.1016/j.jphotochem.2017.07.045
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/c1nc(C)n2ccccc12)CCC3,C(Cl)Cl,701,735,34,0.3,104000,5.017033339,http://dx.doi.org/10.1016/j.jphotochem.2017.07.045
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/c1nc(-c2ccccc2)n2ccccc12)CCC3,C(Cl)Cl,703,746,43,0.4,90000,4.954242509,http://dx.doi.org/10.1016/j.jphotochem.2017.07.045
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/Nc1ccccc1)CCC3,C(Cl)(Cl)Cl,608,644,36,0.35,64000,4.806179974,http://dx.doi.org/10.1016/j.dyepig.2014.06.021
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/Nc1ccccc1)CCC3,CCO,595,641,46,0.35,68000,4.832508913,http://dx.doi.org/10.1016/j.dyepig.2014.06.021
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/Nc1ccccc1)CCC3,C(Cl)Cl,607,644,37,0.6,66000,4.819543936,http://dx.doi.org/10.1016/j.dyepig.2014.06.021
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)-c1cc(C)ccc1C3,CO,470,655,185,0.094,37300,4.571708832,https://doi.org/10.1016/j.dyepig.2015.10.028
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)-c1cc2ccc(N(C)C)cc2nc1CC3,C1CCOC1,635,711,76,0.049,,,https://doi.org/10.1016/j.dyepig.2020.108710
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)-c1cc2ccc(N(C)C)cc2nc1CC3,CC#N,630,715,85,0.045,,,https://doi.org/10.1016/j.dyepig.2020.108710
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)-c1cc2ccc(N(C)C)cc2nc1CC3,C(Cl)Cl,646,710,64,0.2,,,https://doi.org/10.1016/j.dyepig.2020.108710
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)-c1cc2ccc(N(C)C)cc2nc1CC3,CCO,615,685,70,0.12,,,https://doi.org/10.1016/j.dyepig.2020.108710
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)-c1ccc(Br)cc1C3,CO,479,663,183,0.032,25980,4.414639147,https://doi.org/10.1016/j.dyepig.2015.10.028
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)-c1ccccc1C3,CO,469,656,187,0.103,27821,4.444372736,https://doi.org/10.1016/j.dyepig.2015.10.028
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3cc4c(cc3[o+]c2c1)N(CC)C1CCCCC1N4CC,O,586,671,85,0.06,170000,5.230448921,https://doi.org/10.1016/j.cclet.2021.06.038
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3cc4c(cc3[o+]c2c1)N(CC)C1CCCCC1N4CC,CCO,584,660,76,0.35,176000,5.245512668,https://doi.org/10.1016/j.cclet.2021.06.038
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3cc4c(cc3[o+]c2c1)N(CC)C1CCCCC1N4CC,C(Cl)Cl,602,666,64,0.3,193000,5.285557309,https://doi.org/10.1016/j.cclet.2021.06.038
