SMILES,Solvent,AM,EM,QY,AC,ST,LGAC,Et30,SP,SdP,SA,SB
CN1/C(=C/C2=Nc3cccc4cccc2c34)C(C)(C)c2ccccc21,CC#N,515,,,40600,,4.608526034,45.6,0.645,0.974,0.044,0.286
CC1(CCCCCC(=O)O)C(/C=C2\C(=O)C(/C=C3/Nc4ccc(S(=O)(=O)O)cc4C3(C)CCCCCC(=O)O)=C2[O-])=[NH+]c2ccc(S(=O)(=O)O)cc21,CCO,656,673,0.36,,17,,51.9,0.633,0.783,0.4,0.658
C(=Cc1cc[n+](CCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc32)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,539,752,,,213,,37.4,0.714,0.634,0,0.591
CC1=C(c2ccccc2)/C(=C\C=C\C=C\c2c(-c3ccccc3)c(C)c3ccccn23)[n+]2ccccc21,C(Cl)Cl,825,868,0.022,188000,43,5.274157849,40.7,0.761,0.769,0.04,0.178
CC1(C)C(/C=C/C=C/C=C2/N(CCCCCC(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21,O,,,0.22,242000,,5.383815366,63.1,0.681,0.997,1.062,0.025
CCN1/C(=C/C=C/C2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CS(=O)C,552,565,0.07,127000,13,5.103803721,45.1,0.83,1,0.072,0.647
CC1(C)C(/C=C/C=C/C=C/C=C2\N(Cc3ccc(C(=O)O)cc3)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,O,749,787,,170020,38,5.230500012,63.1,0.681,0.997,1.062,0.025
CC1(C)C(/C=C/C=C/C=C/C=C2/N(CCCCS(=O)(=O)[O-])c3ccc(C(=O)NCCCNCCCNCCCCNCCCN)cc3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc(C(=O)NCCCNCCCNCCCCNCCCN)cc21,O,755,781,0.1,268000,26,5.428134794,63.1,0.681,0.997,1.062,0.025
CC1(C)C(/C=C/C2=C(c3ccc(CCC(=O)O)cc3)/C(=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21,O,,,,244000,,5.387389826,63.1,0.681,0.997,1.062,0.025
CC1(C)C2=C(C=CC=C(C#N)C#N)CCCN2c2ccccc21,CC1=CC=CC=C1,554,583,0.0014,,29,,33.9,0.782,0.284,0,0.128
CCN1/C(=C\C2=C(NC)/C(=C/C3=[N+](CC)c4ccccc4C3(C)C)C2=O)C(C)(C)c2ccccc21,CS(=O)C,658,,,169824,,5.229999066,45.1,0.83,1,0.072,0.647
CNC(=O)CC[n+]1c(/C=C2\C=CN(CCC[n+]3ccc(N(C)C)cc3)c3cc(Cl)ccc32)sc2ccccc21,CO,515,,,72400,,4.859738566,55.4,0.608,0.904,0.605,0.545
CCCN1/C(=C/C=C/c2sc3ccccc3[n+]2CCC)Sc2ccccc21,O,554,,,,,,63.1,0.681,0.997,1.062,0.025
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2c1ccc1ccccc21,CO,678,698,,,20,,55.4,0.608,0.904,0.605,0.545
CN(C)C1=C([O-])/C(=C/C2=[N+](C)c3ccccc3C2(C)C)C1=O,C(Cl)(Cl)Cl,476,495,0.008,83000,19,4.919078092,39.1,0.783,0.614,0.047,0.071
C[n+]1c(/C=C2/C=C(/C=C/c3cn(CCCCCC(=O)O)c4ccccc34)CC(C)(C)C2)sc2ccccc21,C(Cl)(Cl)Cl,608,715,0.054,80100,107,4.903632516,39.1,0.783,0.614,0.047,0.071
CCN1C(=O)C(=C/C=C2/N(C)c3ccccc3C2(C)C)C(=O)N(CC)C1=S,CCCCCC,481,,,129000,,5.11058971,31,0.616,0,0,0.056
CC[n+]1c(/C=C2/C=C(/C=C/c3cn(Cc4ccccc4)c4ccccc34)CC(C)(C)C2)sc2ccccc21,CS(=O)C,563,710,0.0722,44800,147,4.651278014,45.1,0.83,1,0.072,0.647
CN1/C(=C\C=C\C2=[N+](C)c3cccc4cccc2c34)C(C)(C)c2ccccc21,CC#N,656,,,99900,,4.999565488,45.6,0.645,0.974,0.044,0.286
CC1(C)C(/C=C/C=C/C=C2/N(CCCCCC(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)=[N+](CCC[N+](C)(C)C)c2ccc(S(=O)(=O)[O-])cc21,O,,,0.23,231000,,5.36361198,63.1,0.681,0.997,1.062,0.025
CCC[n+]1c(/C=C/C=C/Nc2ccc3c(c2)CN2CN3Cc3c2ccc2c(C)cc(=O)oc32)sc2ccccc21,CO,527,577,,,50,,55.4,0.608,0.904,0.605,0.545
CC1=CC(=Cc2sc3ccccc3[n+]2C)C=C(C)N1CCCCCCCCCCCCN1C(C)=CC(=Cc2sc3ccccc3[n+]2C)C=C1C,CN(C)C=O,443,481,,,38,,43.2,0.759,0.977,0.031,0.613
O=[N+]([O-])c1ccc(C(=C\C=C2\Sc3ccccc3N2Cc2ccccc2)/C=C/c2sc3ccccc3[n+]2Cc2ccccc2)cc1,CO,652,675,0.066,276409,23,5.44155218,55.4,0.608,0.904,0.605,0.545
CN(C)c1ccc(C=Cc2cc[n+](CCCCCCCCCC[n+]3ccc(C=Cc4ccc(N(C)C)cc4)cc3)cc2)cc1,CCOC(=O)C,478,591,,,113,,38.1,0.656,0.603,0,0.542
CN(C)c1ccc(C=CC23OCCN2c2ccccc2C3(C)C)cc1,CC#N,538,,,30000,,4.477121255,45.6,0.645,0.974,0.044,0.286
C[n+]1c(C=C2C=CN(CCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCN3C=C/C(=C\c4oc5ccccc5[n+]4C)c4ccccc43)c3ccccc32)oc2ccccc21,CC#N,481,,,138900,,5.142702246,45.6,0.645,0.974,0.044,0.286
CCN(CC)c1ccc2c(c1)S/C(=C\C=C\c1sc3cc(N(CC)CC)ccc3[n+]1CC)N2CC,CO,617,,,,,,55.4,0.608,0.904,0.605,0.545
CC(=O)Oc1ccc2cc3c(cc2c1)Oc1c2c4c(cc1=C3c1ccccc1)CCC[N+]=4CCC2,O,476,591,0.064,24400,115,4.387389826,63.1,0.681,0.997,1.062,0.025
